v(MPa),dmm,inva,rofc
0.85,267,0.000937207,0.27492
2.25,146,0.001757469,3.85286
1,267,0.000625,0.53072
1.89,330,0.001111111,1.31347
1.45,270,0.000823045,0.92752
1.3,550,0.000606061,0.93248
2.15,298.5,0.000959693,3.06612
1.58,267,0.00149925,0.42021
1.68,250,0.001333333,1.082
1.97,298.5,0.000959693,2.4883
1.7,250,0.001,3.4656
1.7,207,0.001612903,2.07336
0.6,925,0.000375375,0.46716
3.23,184,0.001808318,4.22304
0.88,250,0.001123596,0.39493
3.03,208,0.001779359,1.49175
1.23,268,0.000621118,1.49084
1.56,270,0.001234568,0.92752
1.19,278,0.001231527,0.78657
0.99,915,0.000364299,0.92752
1.33,270,0.000617284,0.92752
0.61,267,0.000625,0.2813
1.67,362,0.000690608,1.83136
2.79,146,0.001757469,4.5787
0.66,250,0.000714286,0.541
1,267,0.000937207,0.2726
2,202,0.001239157,3.34152
2.05,298.5,0.000959693,2.7054
1.52,267,0.00149925,0.47775
0.73,250,0.000787402,0.541
2.26,414,0.000805153,2.44296
1.29,270,0.000617284,0.92752
1.86,250,0.001142857,3.5264
0.98,450,0.000761035,0.78246
2.11,250,0.001,5.5632
1.7,368,0.000905797,1.642
1.55,250,0.000985222,1.082
3.25,200,0.001666667,2.96676
2.13,203,0.00125,2.60498
1.36,442,0.000754148,1.37228
1.85,414,0.000603865,2.44296
2.78,207,0.001207729,2.7216
1.31,267,0.001071811,0.28478
1.73,230,0.001242236,1.5717
1.21,267,0.000833333,0.51253
2.88,200,0.001666667,1.66336
2.67,207,0.001610306,1.67184
1.7,221,0.001508296,1.73446
1.66,152,0.001754386,1.96248
2.66,207,0.001610306,1.79588
1.88,135,0.002469136,0.9918
0.89,267,0.000681663,0.39498
2.66,207,0.001610306,1.67184
2.5,200,0.001666667,1.92558
1.24,267,0.000937207,2.02551
0.79,925,0.000375375,0.96556
2.07,133,0.002506266,1.02102
0.8,250,0.000985222,0.39493
0.65,250,0.000787402,0.39493
1.23,372,0.000661376,0.80971
3.85,203,0.001663894,2.24756
